WB_Code,Year,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total
ABW,1960,,,,,,64.049,
ABW,1961,180.0,180.0,,,,64.215,
ABW,1962,180.0,180.0,,,,64.602,
ABW,1963,180.0,180.0,,,,64.944,
ABW,1964,180.0,180.0,,,,65.303,
ABW,1965,180.0,180.0,,,,65.615,
ABW,1966,180.0,180.0,,,,66.126,
ABW,1967,180.0,180.0,,,,66.385,
ABW,1968,180.0,180.0,,,,66.744,
ABW,1969,180.0,180.0,,,,67.098,
ABW,1970,180.0,180.0,,,,67.44,
ABW,1971,180.0,180.0,,,,67.783,
ABW,1972,180.0,180.0,,,,68.335,
ABW,1973,180.0,180.0,,,,68.862,
ABW,1974,180.0,180.0,,,,69.278,
ABW,1975,180.0,180.0,,,,69.564,
ABW,1976,180.0,180.0,,,,69.808,
ABW,1977,180.0,180.0,,,,70.054,
ABW,1978,180.0,180.0,,,,70.271,
ABW,1979,180.0,180.0,,,,70.507,
ABW,1980,180.0,180.0,,,,70.771,
ABW,1981,180.0,180.0,,,,71.344,
ABW,1982,180.0,180.0,,,,71.485,
ABW,1983,180.0,180.0,,,,71.606,
ABW,1984,180.0,180.0,,,,71.711,
ABW,1985,180.0,180.0,,,,71.792,
ABW,1986,180.0,180.0,,,,71.831,
ABW,1987,180.0,180.0,,,,72.448,
ABW,1988,180.0,180.0,,,,72.519,
ABW,1989,180.0,180.0,,,,72.531,
ABW,1990,180.0,180.0,0.0,,,72.546,
ABW,1991,180.0,180.0,,,,72.592,
ABW,1992,180.0,180.0,,,,72.717,
ABW,1993,180.0,180.0,,,,72.777,
ABW,1994,180.0,180.0,,,,72.796,
ABW,1995,180.0,180.0,,,,72.832,
ABW,1996,180.0,180.0,2.77,,,72.856,
ABW,1997,180.0,180.0,,,,72.904,
ABW,1998,180.0,180.0,,,,72.94,
ABW,1999,180.0,180.0,4.51,,,72.857,
ABW,2000,180.0,180.0,15.4428,,,72.939,
ABW,2001,180.0,180.0,17.1,,,73.044,
ABW,2002,180.0,180.0,18.8,,,73.135,
ABW,2003,180.0,180.0,20.8,,,73.236,
ABW,2004,180.0,180.0,23.0,,,73.223,
ABW,2005,180.0,180.0,25.4,,,73.415,
ABW,2006,180.0,180.0,28.0,,,73.498,
ABW,2007,180.0,180.0,30.9,,,73.642,
ABW,2008,180.0,180.0,52.0,,,73.783,
ABW,2009,180.0,180.0,58.0,,,73.974,
ABW,2010,180.0,180.0,62.0,,,74.297,
ABW,2011,180.0,180.0,69.0,,,74.578,
ABW,2012,180.0,180.0,74.0,,,74.841,
ABW,2013,180.0,180.0,78.9,,,75.072,
ABW,2014,180.0,180.0,83.78,,,75.261,
ABW,2015,180.0,180.0,88.6612,,,75.405,
ABW,2016,180.0,180.0,93.5425,,,75.54,
ABW,2017,180.0,180.0,97.17,,,75.62,
ABW,2018,180.0,180.0,,,,75.88,
ABW,2019,180.0,180.0,,,,76.019,
ABW,2020,180.0,180.0,,,,75.406,
ABW,2021,180.0,180.0,,,,73.655,
ABW,2022,180.0,180.0,,,,76.226,
ABW,2023,180.0,180.0,,,,76.353,
AFG,1960,,,,,,32.799,
AFG,1961,652230.0,652860.0,,,,33.291,
AFG,1962,652230.0,652860.0,,,,33.757,
AFG,1963,652230.0,652860.0,,,,34.201,
AFG,1964,652230.0,652860.0,,,,34.673,
AFG,1965,652230.0,652860.0,,,,35.124,
AFG,1966,652230.0,652860.0,,,,35.583,
AFG,1967,652230.0,652860.0,,,,36.042,
AFG,1968,652230.0,652860.0,,,,36.51,
AFG,1969,652230.0,652860.0,,,,36.979,
AFG,1970,652230.0,652860.0,,,,37.46,
AFG,1971,652230.0,652860.0,,,,37.932,
AFG,1972,652230.0,652860.0,,,,38.423,
AFG,1973,652230.0,652860.0,,,,38.951,
AFG,1974,652230.0,652860.0,,,,39.469,
AFG,1975,652230.0,652860.0,,,,39.994,
AFG,1976,652230.0,652860.0,,,,40.518,
AFG,1977,652230.0,652860.0,,,,41.082,
AFG,1978,652230.0,652860.0,,,,40.086,
AFG,1979,652230.0,652860.0,,,,38.844,
AFG,1980,652230.0,652860.0,,,,39.258,
AFG,1981,652230.0,652860.0,,,,39.406,
AFG,1982,652230.0,652860.0,,,,36.058,
AFG,1983,652230.0,652860.0,,,,36.517,
AFG,1984,652230.0,652860.0,,,,31.473,
AFG,1985,652230.0,652860.0,,,,32.132,
AFG,1986,652230.0,652860.0,,,,38.4,
AFG,1987,652230.0,652860.0,,,,38.831,
AFG,1988,652230.0,652860.0,,,,43.238,
AFG,1989,652230.0,652860.0,,,,44.496,
AFG,1990,652230.0,652860.0,0.0,,,45.118,2974181.0
AFG,1991,652230.0,652860.0,,,,45.521,3009251.0
AFG,1992,652230.0,652860.0,,,,46.569,3248953.0
AFG,1993,652230.0,652860.0,,,,51.021,3636608.0
