WB_Code,Year,Population,GDP,GDP_per_capita,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,HDI,Education_Spending_pct_GDP,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Coffee_Consumption_Kg_Per_Capita,Coca_Cola_Servings_Per_Capita,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Refugees_Received,Refugees_Produced,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands
AFG,1960,9035043.0,,,,,,,,,32.799,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1961,9214083.0,,,652230.0,652860.0,,,,,33.291,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1962,9404406.0,,,652230.0,652860.0,,,,,33.757,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1963,9604487.0,,,652230.0,652860.0,,,,,34.201,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1964,9814318.0,,,652230.0,652860.0,,,,,34.673,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1965,10036008.0,,,652230.0,652860.0,,,,,35.124,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1966,10266395.0,,,652230.0,652860.0,,,,,35.583,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1967,10505959.0,,,652230.0,652860.0,,,,,36.042,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1968,10756922.0,,,652230.0,652860.0,,,,,36.51,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1969,11017409.0,,,652230.0,652860.0,,,,,36.979,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
AFG,1970,11290128.0,,,652230.0,652860.0,,,,,37.46,,,,0.0,1884.0,,,,,,,,,,3.448,0.0,6100000.0,,
