WB_Code,Year,Coffee_Consumption_Kg_Per_Capita,Coca_Cola_Servings_Per_Capita,Notes
AFG,2024,,,
ARE,2024,,,
ARG,2024,,,
ARM,2024,,,
AUS,2024,,,
AUT,2024,,,
AZE,2024,,,
BEL,2024,,,
BGR,2024,,,
BHR,2024,,,
BLR,2024,,,
BRA,2024,,,
BRB,2024,,,
BWA,2024,,,
CAN,2024,,,
CHE,2024,,,
CHL,2024,,,
CHN,2024,,,
CIV,2024,,,
CMR,2024,,,
COL,2024,,,
CRI,2024,,,
CUB,2024,,,
CYP,2024,,,
CZE,2024,,,
DEU,2024,,,
DJI,2024,,,
DNK,2024,,,
DOM,2024,,,
DZA,2024,,,
ECU,2024,,,
EGY,2024,,,
ERI,2024,,,
ESP,2024,,,
EST,2024,,,
ETH,2024,,,
FIN,2024,,,
FJI,2024,,,
FRA,2024,,,
GAB,2024,,,
GBR,2024,,,
GEO,2024,,,
GHA,2024,,,
GRC,2024,,,
GTM,2024,,,
GUY,2024,,,
HRV,2024,,,
HTI,2024,,,
HUN,2024,,,
IDN,2024,,,
IND,2024,,,
IRL,2024,,,
IRN,2024,,,
IRQ,2024,,,
ISL,2024,,,
ISR,2024,,,
ITA,2024,,,
JAM,2024,,,
JOR,2024,,,
JPN,2024,,,
KAZ,2024,,,
KEN,2024,,,
KGZ,2024,,,
KOR,2024,,,
KWT,2024,,,
LIE,2024,,,
LKA,2024,,,
LTU,2024,,,
LUX,2024,,,
LVA,2024,,,
MAR,2024,,,
MCO,2024,,,
MDA,2024,,,
MEX,2024,,,
MKD,2024,,,
MNE,2024,,,
MNG,2024,,,
MOZ,2024,,,
MUS,2024,,,
MYS,2024,,,
NAM,2024,,,
NER,2024,,,
NGA,2024,,,
NLD,2024,,,
NOR,2024,,,
NPL,2024,,,
NZL,2024,,,
PAK,2024,,,
PAN,2024,,,
PER,2024,,,
PHL,2024,,,
POL,2024,,,
PRI,2024,,,
PRK,2024,,,
PRT,2024,,,
PRY,2024,,,
QAT,2024,,,
RUS,2024,,,
SAU,2024,,,
SDN,2024,,,
SEN,2024,,,
SGP,2024,,,
SRB,2024,,,
SUR,2024,,,
SVK,2024,,,
SVN,2024,,,
SWE,2024,,,
SYR,2024,,,
TGO,2024,,,
THA,2024,,,
TJK,2024,,,
TUN,2024,,,
TUR,2024,,,
TZA,2024,,,
UGA,2024,,,
UKR,2024,,,
URY,2024,,,
USA,2024,,,
UZB,2024,,,
VEN,2024,,,
VNM,2024,,,
XKX,2024,,,
ZAF,2024,,,
ZMB,2024,,,
ZWE,2024,,,
