WB_Code,Coastline_Length_Km,Average_Elevation_Meters
RUS,37653.0,600.0
ESP,4964.0,660.0
TUN,1148.0,
GRC,13676.0,498.0
IRL,1448.0,118.0
AZE,0.0,
IDN,54716.0,
UGA,0.0,
ZMB,0.0,
NPL,0.0,3265.0
SVN,47.0,492.0
LUX,,325.0
BGR,354.0,472.0
JPN,29751.0,438.0
ARM,0.0,1792.0
BEL,66.0,181.0
FRA,3427.0,375.0
EST,3794.0,61.0
BTN,0.0,3280.0
ALB,362.0,
POL,440.0,173.0
DEU,2389.0,263.0
MYS,4675.0,
CAN,202080.0,487.0
THA,3219.0,
SRB,0.0,
AUS,25760.0,330.0
ITA,7600.0,538.0
CHE,0.0,1350.0
HUN,0.0,143.0
PAK,,900.0
LIE,,1600.0
USA,19924.0,760.0
BDI,0.0,
SWE,3218.0,320.0
CHN,14500.0,1840.0
ROU,225.0,414.0
BOL,0.0,1192.0
MNE,294.0,
CUB,3735.0,
GEO,310.0,1432.0
UZB,0.0,
ZWE,0.0,
ZAF,2798.0,1034.0
PHL,36289.0,
KOR,2413.0,282.0
ETH,0.0,1330.0
HRV,5835.0,331.0
EGY,2450.0,321.0
CHL,6435.0,1871.0
ARG,4989.0,595.0
LVA,498.0,87.0
SVK,0.0,458.0
RWA,0.0,
PER,,1555.0
MAR,1835.0,
ISL,4970.0,500.0
KAZ,0.0,
CZE,0.0,433.0
NLD,451.0,30.0
AUT,0.0,910.0
LBY,1770.0,
JAM,1022.0,
TJK,0.0,3186.0
DNK,7314.0,34.0
KGZ,0.0,2988.0
ECU,,1117.0
DZA,998.0,
UKR,2782.0,175.0
MEX,9330.0,1111.0
AFG,0.0,1884.0
IRN,2440.0,1305.0
BRA,7491.0,320.0
VNM,3444.0,
NZL,15134.0,388.0
NOR,25148.0,460.0
IND,7000.0,160.0
TUR,7200.0,1132.0
LTU,90.0,110.0
AND,,1996.0
PRY,0.0,
GBR,12429.0,162.0
PRT,1793.0,
FIN,1250.0,164.0
MNG,0.0,
