WB_Code,Year,HDI
AFG,1990,0.329910184
AFG,1991,0.334045576
AFG,1992,0.34022826
AFG,1993,0.356374407
AFG,1994,0.347560398
AFG,1995,0.31
AFG,1996,0.319
AFG,1997,0.323
AFG,1998,0.324
AFG,1999,0.332
AFG,2000,0.335
AFG,2001,0.337
AFG,2002,0.362
AFG,2003,0.376
AFG,2004,0.392
AFG,2005,0.4
AFG,2006,0.409
AFG,2007,0.424
AFG,2008,0.43
AFG,2009,0.44
AFG,2010,0.448
AFG,2011,0.456
AFG,2012,0.466
AFG,2013,0.474
AFG,2014,0.479
AFG,2015,0.478
AFG,2016,0.481
AFG,2017,0.482
AFG,2018,0.483
AFG,2019,0.488
AFG,2020,0.483
AFG,2021,0.478
AGO,1999,0.364
AGO,2000,0.375
AGO,2001,0.386
AGO,2002,0.403
AGO,2003,0.42
AGO,2004,0.433
AGO,2005,0.447
AGO,2006,0.459
AGO,2007,0.475
AGO,2008,0.486
AGO,2009,0.5
AGO,2010,0.51
AGO,2011,0.526
AGO,2012,0.541
AGO,2013,0.552
AGO,2014,0.563
AGO,2015,0.582
AGO,2016,0.596
AGO,2017,0.597
AGO,2018,0.595
AGO,2019,0.595
AGO,2020,0.59
AGO,2021,0.586
ALB,1990,0.647
ALB,1991,0.629
ALB,1992,0.614
ALB,1993,0.617
ALB,1994,0.624
ALB,1995,0.634
ALB,1996,0.645
ALB,1997,0.642
ALB,1998,0.657
ALB,1999,0.669
ALB,2000,0.677
ALB,2001,0.684
ALB,2002,0.689
ALB,2003,0.696
ALB,2004,0.7
ALB,2005,0.711
ALB,2006,0.718
ALB,2007,0.73
ALB,2008,0.736
ALB,2009,0.741
ALB,2010,0.754
ALB,2011,0.766
ALB,2012,0.778
ALB,2013,0.785
ALB,2014,0.792
ALB,2015,0.795
ALB,2016,0.798
ALB,2017,0.802
ALB,2018,0.806
ALB,2019,0.81
ALB,2020,0.794
ALB,2021,0.796
AND,2000,0.818
AND,2001,0.825
AND,2002,0.832
AND,2003,0.841
AND,2004,0.833
AND,2005,0.833
AND,2006,0.848
AND,2007,0.847
AND,2008,0.85
AND,2009,0.848
AND,2010,0.848
AND,2011,0.849
AND,2012,0.869
AND,2013,0.864
AND,2014,0.871
AND,2015,0.867
AND,2016,0.871
AND,2017,0.868
AND,2018,0.872
AND,2019,0.873
AND,2020,0.848
AND,2021,0.858
ARE,1990,0.728
ARE,1991,0.739
ARE,1992,0.742
ARE,1993,0.748
ARE,1994,0.755
ARE,1995,0.762
ARE,1996,0.767
ARE,1997,0.773
ARE,1998,0.779
ARE,1999,0.787
ARE,2000,0.796
ARE,2001,0.8
ARE,2002,0.804
ARE,2003,0.814
ARE,2004,0.818
ARE,2005,0.822
ARE,2006,0.827
ARE,2007,0.831
ARE,2008,0.834
ARE,2009,0.833
ARE,2010,0.835
ARE,2011,0.84
ARE,2012,0.846
ARE,2013,0.852
ARE,2014,0.859
ARE,2015,0.865
ARE,2016,0.87
ARE,2017,0.897
ARE,2018,0.909
ARE,2019,0.92
ARE,2020,0.912
ARE,2021,0.911
ARG,1990,0.723
ARG,1991,0.73
ARG,1992,0.735
ARG,1993,0.739
ARG,1994,0.744
ARG,1995,0.745
ARG,1996,0.751
ARG,1997,0.756
ARG,1998,0.762
ARG,1999,0.773
ARG,2000,0.779
ARG,2001,0.784
ARG,2002,0.785
ARG,2003,0.793
ARG,2004,0.798
ARG,2005,0.802
ARG,2006,0.814
ARG,2007,0.817
ARG,2008,0.825
ARG,2009,0.827
ARG,2010,0.834
ARG,2011,0.841
ARG,2012,0.843
ARG,2013,0.845
ARG,2014,0.846
ARG,2015,0.848
ARG,2016,0.847
ARG,2017,0.851
ARG,2018,0.85
ARG,2019,0.852
ARG,2020,0.84
ARG,2021,0.842
ARM,1990,0.656
ARM,1991,0.649
ARM,1992,0.618
ARM,1993,0.616
ARM,1994,0.62
ARM,1995,0.627
ARM,1996,0.632
ARM,1997,0.641
ARM,1998,0.654
ARM,1999,0.657
ARM,2000,0.662
ARM,2001,0.666
ARM,2002,0.676
ARM,2003,0.686
ARM,2004,0.694
ARM,2005,0.707
ARM,2006,0.721
ARM,2007,0.738
ARM,2008,0.742
ARM,2009,0.741
ARM,2010,0.746
ARM,2011,0.75
ARM,2012,0.755
ARM,2013,0.76
ARM,2014,0.764
ARM,2015,0.766
ARM,2016,0.765
ARM,2017,0.768
ARM,2018,0.771
ARM,2019,0.778
ARM,2020,0.757
ARM,2021,0.759
ATG,2007,0.802
ATG,2008,0.801
ATG,2009,0.795
ATG,2010,0.79
ATG,2011,0.783
ATG,2012,0.787
ATG,2013,0.787
ATG,2014,0.789
ATG,2015,0.791
ATG,2016,0.794
ATG,2017,0.795
ATG,2018,0.798
ATG,2019,0.8
ATG,2020,0.788
ATG,2021,0.788
AUS,1990,0.865
AUS,1991,0.867
AUS,1992,0.869
AUS,1993,0.873
AUS,1994,0.873
AUS,1995,0.882
AUS,1996,0.884
AUS,1997,0.887
AUS,1998,0.891
AUS,1999,0.894
AUS,2000,0.896
AUS,2001,0.9
AUS,2002,0.902
AUS,2003,0.906
AUS,2004,0.908
AUS,2005,0.911
AUS,2006,0.914
AUS,2007,0.915
AUS,2008,0.919
AUS,2009,0.921
AUS,2010,0.923
AUS,2011,0.926
AUS,2012,0.93
AUS,2013,0.929
AUS,2014,0.931
AUS,2015,0.933
AUS,2016,0.935
AUS,2017,0.937
AUS,2018,0.941
AUS,2019,0.941
AUS,2020,0.947
AUS,2021,0.951
AUT,1990,0.825
AUT,1991,0.829
AUT,1992,0.835
AUT,1993,0.84
AUT,1994,0.845
AUT,1995,0.849
AUT,1996,0.853
AUT,1997,0.857
AUT,1998,0.863
AUT,1999,0.866
AUT,2000,0.871
AUT,2001,0.876
AUT,2002,0.879
AUT,2003,0.881
AUT,2004,0.886
AUT,2005,0.889
AUT,2006,0.893
AUT,2007,0.896
AUT,2008,0.898
AUT,2009,0.898
AUT,2010,0.902
AUT,2011,0.905
AUT,2012,0.906
AUT,2013,0.905
AUT,2014,0.909
AUT,2015,0.91
AUT,2016,0.915
AUT,2017,0.916
AUT,2018,0.917
AUT,2019,0.919
AUT,2020,0.913
AUT,2021,0.916
AZE,1995,0.59
AZE,1996,0.59
AZE,1997,0.594
AZE,1998,0.604
AZE,1999,0.615
AZE,2000,0.622
AZE,2001,0.632
AZE,2002,0.642
AZE,2003,0.651
AZE,2004,0.659
AZE,2005,0.672
AZE,2006,0.692
AZE,2007,0.706
AZE,2008,0.716
AZE,2009,0.722
AZE,2010,0.727
AZE,2011,0.729
AZE,2012,0.734
AZE,2013,0.741
AZE,2014,0.745
AZE,2015,0.748
AZE,2016,0.75
AZE,2017,0.753
AZE,2018,0.757
AZE,2019,0.761
AZE,2020,0.73
AZE,2021,0.745
BDI,1990,0.317750009
BDI,1991,0.319353842
BDI,1992,0.317336521
BDI,1994,0.316789173
BDI,1995,0.311681512
BDI,1996,0.307699331
BDI,1997,0.312067978
BDI,1998,0.318397492
BDI,1999,0.321366504
BDI,2000,0.319988066
BDI,2001,0.32183024
BDI,2002,0.311
BDI,2003,0.319
BDI,2004,0.33
BDI,2005,0.338
BDI,2006,0.36
BDI,2007,0.372
BDI,2008,0.386
BDI,2009,0.395
BDI,2010,0.405
BDI,2011,0.41
BDI,2012,0.416
BDI,2013,0.421
BDI,2014,0.426
BDI,2015,0.428
BDI,2016,0.43
BDI,2017,0.428
BDI,2018,0.428
BDI,2019,0.431
BDI,2020,0.426
BDI,2021,0.426
BEL,1990,0.816
BEL,1991,0.819
BEL,1992,0.835
BEL,1993,0.85
BEL,1994,0.858
BEL,1995,0.865
BEL,1996,0.871
BEL,1997,0.876
BEL,1998,0.878
BEL,1999,0.882
BEL,2000,0.887
BEL,2001,0.89
BEL,2002,0.892
BEL,2003,0.895
BEL,2004,0.9
BEL,2005,0.902
BEL,2006,0.905
BEL,2007,0.908
BEL,2008,0.908
BEL,2009,0.91
BEL,2010,0.912
BEL,2011,0.914
BEL,2012,0.915
BEL,2013,0.916
BEL,2014,0.921
BEL,2015,0.924
BEL,2016,0.927
BEL,2017,0.931
BEL,2018,0.933
BEL,2019,0.936
BEL,2020,0.928
BEL,2021,0.937
BEN,1990,0.359
BEN,1991,0.364
BEN,1992,0.369
BEN,1993,0.375
BEN,1994,0.38
BEN,1995,0.386
BEN,1996,0.391
BEN,1997,0.397
BEN,1998,0.402
BEN,1999,0.409
BEN,2000,0.416
BEN,2001,0.428
BEN,2002,0.436
BEN,2003,0.443
BEN,2004,0.45
BEN,2005,0.457
BEN,2006,0.464
BEN,2007,0.472
BEN,2008,0.48
BEN,2009,0.486
BEN,2010,0.492
BEN,2011,0.499
BEN,2012,0.509
BEN,2013,0.52
BEN,2014,0.524
BEN,2015,0.529
BEN,2016,0.53
BEN,2017,0.53
BEN,2018,0.53
BEN,2019,0.53
BEN,2020,0.524
BEN,2021,0.525
BFA,1999,0.331586078
BFA,2000,0.334110786
BFA,2001,0.338084909
BFA,2002,0.303
BFA,2003,0.31
BFA,2004,0.32
BFA,2005,0.331
BFA,2006,0.339
BFA,2007,0.334
BFA,2008,0.349
BFA,2009,0.36
BFA,2010,0.372
BFA,2011,0.384
BFA,2012,0.395
BFA,2013,0.402
BFA,2014,0.408
BFA,2015,0.418
BFA,2016,0.427
BFA,2017,0.438
BFA,2018,0.449
BFA,2019,0.452
BFA,2020,0.449
BFA,2021,0.449
BGD,1990,0.397
BGD,1991,0.394
