WB_Code,Year,Military_Expenditure_Pct_GDP,Active_Military_Personnel,Active_Military_Personnel_Thousands
AFG,2000,,400000.0,400.0
AFG,2002,,120000.0,120.0
AFG,2003,,130000.0,130.0
AFG,2004,2.431,27000.0,27.0
AFG,2005,1.992,27000.0,27.0
AFG,2006,1.896,51000.0,51.0
AFG,2007,2.566,51000.0,51.0
AFG,2008,2.336,94000.0,94.0
AFG,2009,2.087,255745.0,255.7
AFG,2010,1.946,306800.0,306.8
AFG,2011,1.821,340350.0,340.4
AFG,2012,1.175,338150.0,338.2
AFG,2013,1.077,330650.0,330.6
AFG,2014,1.298,308800.0,308.8
AFG,2015,0.995,319400.0,319.4
AFG,2016,0.957,323000.0,323.0
AFG,2017,0.945,323000.0,323.0
AFG,2018,1.007,272900.0,272.9
AFG,2019,1.171,278000.0,278.0
AFG,2020,1.359,165000.0,165.0
AFG,2021,1.828,,
AGO,2000,6.393,117500.0,117.5
AGO,2001,4.524,145500.0,145.5
AGO,2002,2.87,110000.0,110.0
AGO,2003,3.761,130000.0,130.0
AGO,2004,3.471,118000.0,118.0
AGO,2005,3.692,118000.0,118.0
AGO,2006,3.761,110000.0,110.0
AGO,2007,3.114,117000.0,117.0
AGO,2008,3.573,117000.0,117.0
AGO,2009,4.71,117000.0,117.0
AGO,2010,4.178,117000.0,117.0
AGO,2011,3.256,117000.0,117.0
AGO,2012,3.237,117000.0,117.0
AGO,2013,4.455,117000.0,117.0
AGO,2014,4.698,117000.0,117.0
AGO,2015,3.105,117000.0,117.0
AGO,2016,2.733,117000.0,117.0
AGO,2017,2.508,117000.0,117.0
AGO,2018,1.956,117000.0,117.0
AGO,2019,1.768,117000.0,117.0
AGO,2020,1.81,117000.0,117.0
AGO,2021,1.393,,
AGO,2022,1.41,,
AGO,2023,1.407,,
AGO,2024,1.0,,
ALB,2000,1.246,67500.0,67.5
ALB,2001,1.309,40500.0,40.5
ALB,2002,1.32,27000.0,27.0
ALB,2003,1.337,22000.0,22.0
ALB,2004,1.381,21500.0,21.5
