Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2020,AFG,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,ALB,0,0,0,0,9,0,0,0,0,0,0,0,0
2020,ALG,0,0,0,0,41,0,0,0,0,0,0,0,0
2020,AND,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,ANG,0,0,0,0,20,0,0,0,0,0,0,0,0
2020,ANT,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,ARG,0,1,2,3,189,43,0,18,25,43,0,18,25
2020,ARM,0,2,2,4,17,4,0,2,2,4,0,2,2
2020,ARU,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,ASA,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,AUS,17,7,22,46,487,100,28,28,59,130,36,28,66
2020,AUT,1,1,5,7,75,7,1,1,5,7,1,1,5
2020,AZE,0,3,4,7,44,7,0,3,4,7,0,3,4
2020,BAH,2,0,0,2,16,2,2,0,0,2,2,0,0
2020,BAN,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,BAR,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,BDI,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,BEL,3,1,3,7,125,27,20,1,6,27,20,1,6
2020,BEN,0,0,0,0,7,0,0,0,0,0,0,0,0
2020,BER,1,0,0,1,2,1,1,0,0,1,1,0,0
2020,BHU,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,BIH,0,0,0,0,7,0,0,0,0,0,0,0,0
2020,BIZ,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,BLR,1,3,3,7,105,10,1,6,3,10,1,6,3
2020,BOL,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,BOT,0,0,1,1,13,5,0,0,5,5,0,0,5
2020,BRA,7,6,8,21,316,54,29,17,9,55,29,17,9
2020,BRN,0,1,0,1,33,1,0,1,0,1,0,1,0
2020,BRU,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,BUL,3,1,2,6,42,10,7,1,2,10,7,1,2
2020,BUR,0,0,1,1,7,1,0,0,1,1,0,0,1
2020,CAF,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,CAM,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,CAN,7,7,10,24,383,74,36,17,30,85,36,18,31
