Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2018,ALB,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,AND,0,0,0,0,5,0,0,0,0,0,0,0,0
2018,ARG,0,0,0,0,7,0,0,0,0,0,0,0,0
2018,ARM,0,0,0,0,3,0,0,0,0,0,0,0,0
2018,AUS,0,2,1,3,50,3,0,2,1,3,0,2,1
2018,AUT,5,3,6,14,102,19,4,9,9,24,5,9,10
2018,AZE,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,BEL,0,1,0,1,22,1,0,1,0,1,0,1,0
2018,BER,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,BIH,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,BLR,2,1,0,3,32,5,5,1,0,6,5,1,0
2018,BOL,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,BRA,0,0,0,0,9,0,0,0,0,0,0,0,0
2018,BUL,0,0,0,0,20,0,0,0,0,0,0,0,0
2018,CAN,11,8,10,29,225,91,28,31,39,101,30,31,40
2018,CHI,0,0,0,0,7,0,0,0,0,0,0,0,0
2018,CHN,1,6,2,9,80,13,1,11,2,14,1,11,2
2018,COL,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,COR,0,0,0,0,35,0,0,0,0,0,0,0,0
2018,CRO,0,0,0,0,19,0,0,0,0,0,0,0,0
2018,CYP,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,CZE,2,2,3,7,93,6,1,2,3,7,2,2,3
2018,DEN,0,0,0,0,17,0,0,0,0,0,0,0,0
2018,ECU,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,ERI,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,ESP,0,0,2,2,13,2,0,0,2,2,0,0,2
2018,EST,0,0,0,0,20,0,0,0,0,0,0,0,0
2018,FIN,1,1,4,6,100,26,1,1,25,28,1,1,26
2018,FRA,5,4,6,15,102,19,6,5,11,26,8,5,13
2018,GBR,1,0,4,5,58,5,1,0,4,5,1,0,4
2018,GEO,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,GER,14,10,7,31,146,61,19,39,10,76,25,40,11
2018,GHA,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,GRE,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,HKG,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,HUN,1,0,0,1,19,5,5,0,0,5,5,0,0
2018,IND,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,IRI,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,IRL,0,0,0,0,5,0,0,0,0,0,0,0,0
2018,ISL,0,0,0,0,5,0,0,0,0,0,0,0,0
2018,ISR,0,0,0,0,10,0,0,0,0,0,0,0,0
2018,ITA,3,2,5,10,118,14,3,6,7,17,3,6,8
2018,JAM,0,0,0,0,3,0,0,0,0,0,0,0,0
2018,JPN,4,5,4,13,123,16,6,5,8,20,7,5,8
2018,KAZ,0,0,1,1,45,1,0,0,1,1,0,0,1
2018,KEN,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,KGZ,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,KOR,5,8,4,17,122,27,8,18,4,31,9,18,4
2018,KOS,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,LAT,0,0,1,1,34,2,0,0,2,2,0,0,2
2018,LBN,0,0,0,0,3,0,0,0,0,0,0,0,0
2018,LIE,0,0,1,1,3,1,0,0,1,1,0,0,1
2018,LTU,0,0,0,0,9,0,0,0,0,0,0,0,0
2018,LUX,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,MAD,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,MAR,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,MAS,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,MDA,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,MEX,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,MGL,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,MKD,0,0,0,0,3,0,0,0,0,0,0,0,0
2018,MLT,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,MNE,0,0,0,0,3,0,0,0,0,0,0,0,0
2018,MON,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,NED,8,6,6,20,33,19,7,8,12,30,8,9,13
2018,NGR,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,NOR,14,14,11,39,102,43,21,19,16,68,27,23,18
2018,NZL,0,0,2,2,20,2,0,0,2,2,0,0,2
2018,PAK,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,PHI,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,POL,1,0,1,2,61,4,1,0,4,5,1,0,4
2018,POR,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,PRK,0,0,0,0,10,0,0,0,0,0,0,0,0
2018,PUR,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,ROC,2,6,9,17,168,53,26,20,11,62,26,24,12
2018,ROU,0,0,0,0,28,0,0,0,0,0,0,0,0
2018,RSA,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,SGP,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,SLO,0,1,1,2,71,2,0,1,1,2,0,1,1
2018,SMR,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,SRB,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,SUI,5,6,4,15,163,20,9,7,8,24,9,7,8
2018,SVK,1,2,0,3,55,1,1,1,0,3,1,2,0
2018,SWE,7,6,1,14,110,24,14,14,1,32,14,17,1
2018,TGA,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,THA,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,TLS,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,TOG,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,TPE,0,0,0,0,4,0,0,0,0,0,0,0,0
2018,TUR,0,0,0,0,8,0,0,0,0,0,0,0,0
2018,UKR,1,0,0,1,32,1,1,0,0,1,1,0,0
2018,USA,9,8,6,23,235,64,36,9,21,68,36,9,23
2018,UZB,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,ALB,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,AND,0,0,0,0,5,0,0,0,0,0,0,0,0
2022,ARG,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ARM,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ASA,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,AUS,1,2,1,4,43,4,1,2,1,4,1,2,1
2022,AUT,7,7,4,18,101,22,14,7,5,28,15,8,5
2022,AZE,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,BEL,1,0,1,2,19,2,1,0,1,2,1,0,1
2022,BIH,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,BLR,0,2,0,2,26,2,0,2,0,2,0,2,0
2022,BOL,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,BRA,0,0,0,0,10,0,0,0,0,0,0,0,0
2022,BUL,0,0,0,0,15,0,0,0,0,0,0,0,0
2022,CAN,4,8,14,26,215,60,33,8,26,68,33,8,27
2022,CHI,0,0,0,0,4,0,0,0,0,0,0,0,0
2022,CHN,9,4,2,15,180,17,12,6,6,26,14,6,6
2022,COL,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,CRO,0,0,0,0,11,0,0,0,0,0,0,0,0
2022,CYP,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,CZE,1,0,1,2,114,2,1,0,1,2,1,0,1
2022,DEN,0,0,0,0,63,0,0,0,0,0,0,0,0
2022,ECU,0,0,0,0,1,0,0,0,0,0,0,0,0
