Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands,Healthcare_Spending_USD,Military_Expenditure_USD,Education_Spending_USD,Medals_Per_Million,Medals_Per_Billion_GDP,Medals_Per_GDP_Per_Capita,Medals_Per_HDI,Medals_Per_1000_SqKm,Medals_Per_1000_Km_Coastline,Medals_Per_100m_Elevation,Medals_Per_Degree_Temp,Medals_Per_100_Sunshine_Days,Medals_Per_100_Cm_Snowfall,Medals_Per_Million_Internet_Users,Medals_Per_1000_Vehicles,Medals_Per_University,Medals_Per_Stadium,Medals_Per_Ski_Resort,Medals_Per_Pct_Healthcare_Spending,Medals_Per_Year_Life_Expectancy,Medals_Per_100_Work_Hours,Medals_Per_Peace_Index_Point,Medals_Per_Pct_Military_Spending,Medals_Per_1000_Military_Personnel,Medals_Per_Pct_Education_Spending,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
1960,AFG,0.0,0.0,0.0,0.0,0,0,0,0,0.0,AFG,9035043.0,3521418059.92345,174.930991430166,0.301,3.0,Temperate,12.0,4.0,3.4794499874115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652230.0,652860.0,0.0,,9.44339085,16.70697403,32.799,2974181.0,0.0,1884.0,,,,,,,,3.448,2.431,400.0,150948228.7609333,85605673.03673908,122525980.24271278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,ARG,0.0,1.0,1.0,2.0,13,15,10,38,4.666666666666667,ARG,20386045.0,15865474315.4056,778.251706763404,0.733,3.0,Temperate,12.0,4.0,1.4580899477005,0.0981063271468301,0.12605989334072237,25.698626583391732,2.728512960436562,0.0,0.0,0.0,0.0,2736690.0,2780400.0,0.0,,8.22001076,702.23309326,64.242,13464669.0,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,1.149,102.3,14315755439.687557,182294299.88401034,231332886.14793378,0.0981063271468301,0.12605989334072237,25.698626583391732,2.728512960436562,0.0007308098469318775,0.4008819402685909,0.3361344537815126,0.1342281879194631,0.7692307692307692,4.0,0.0,0.0,0.015384615384615385,0.08,0.1,0.24330868394143076,0.031132281062233428,0.0,0.0,1.7406440382941688,19.550342130987293,1.371657491469663,92.0,4.0,0.0,3.0,1.0,4.0,0.0,3.0,1.0
1960,AUS,8.0,8.0,6.0,22.0,33,25,36,94,19.666666666666668,AUS,10276477.0,18635682981.7093,1813.43109917039,0.867,3.0,Temperate,12.0,4.0,6.00073003768921,2.1408114862710246,1.1805309213294053,121.31698860830488,25.374855824682815,0.7784769040985544,0.429283971392511,44.115268584838134,9.22722029988466,7682300.0,7741220.0,0.585,,7.58869076,1626.73388672,70.8170731707317,8500719.0,25760.0,330.0,21.7,,310.0,43.0,12.0,15.0,1767.0,1.525,1.824,51.6,16717093371.998686,339914857.5863776,1118277026.4119663,2.1408114862710246,1.1805309213294053,121.31698860830488,25.374855824682815,0.0028637257071449955,0.8540372670807453,6.666666666666667,1.0138248847926268,7.096774193548387,0.0,37606837.60683761,0.0,0.5116279069767442,1.4666666666666666,1.8333333333333333,2.8990507975317734,0.3106595488203892,1.245048104131296,14.426229508196721,12.06140350877193,426.3565891472868,3.6662205867991133,189.0,33.0,10.0,17.0,6.0,46.0,11.0,24.0,11.0
1960,AUT,1.0,1.0,0.0,2.0,18,24,29,71,4.0,AUT,7047539.0,6624086313.14334,939.914814681174,0.832,2.0,Continental,5.0,7.0,4.16346979141235,0.2837870070672897,0.3019284329118194,21.278524061549287,2.4038461538461537,0.14189350353364485,0.1509642164559097,10.639262030774644,1.2019230769230769,82520.0,83879.0,0.13,,9.38934517,2301.89208984,68.5856097560976,3524952.0,0.0,910.0,6.5,130.0,200.0,22.0,400.0,5.0,1639.9,1.313,0.984,40.5,16222674276.938906,65181009.321330465,275791832.604803,0.2837870070672897,0.3019284329118194,21.278524061549287,2.4038461538461537,0.024236548715462918,0.0,0.21978021978021978,0.3076923076923077,1.0,1.5384615384615383,15384615.384615384,0.0,0.09090909090909091,0.4,0.005,0.21300739974819777,0.029160635986358496,0.1219586560156107,1.5232292460015233,2.032520325203252,49.382716049382715,0.4803685628091351,103.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0
1960,BAH,0.0,0.0,0.0,0.0,0,0,1,1,0.5,BHS,116317.0,169736027.157764,1459.25382495907,0.762,5.0,Tropical,26.0,0.0,2.23284006118774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10010.0,13880.0,0.0,,3.80487037,948.88244629,62.454,140803.0,,,,,,,,,,,,3.2,110371159.50511393,,3789934.0126470565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,BEL,0.0,2.0,2.0,4.0,34,41,39,114,4.333333333333333,BEL,9153489.0,11810619368.3874,1290.28607216192,0.824,3.0,Temperate,12.0,4.0,5.76281976699829,0.43699183994212476,0.33867825854302785,31.00087714112777,4.8543689320388355,0.0,0.0,0.0,0.0,30333.0,33120.0,0.00101,,7.99917603,1849.91601563,69.7019512195122,3938244.0,66.0,181.0,10.5,,170.0,11.0,,6.0,1589.1,1.495,1.351,39.3,16933185899.993032,159561467.66691378,680624707.5663577,0.43699183994212476,0.33867825854302785,31.00087714112777,4.8543689320388355,0.13186958098440643,60.6060606060606,2.2099447513812156,0.38095238095238093,2.3529411764705883,0.0,3960396039.6039605,0.0,0.36363636363636365,0.6666666666666666,0.0,0.5000515034296601,0.0573872026538082,0.25171480712352906,2.6755852842809364,2.9607698001480385,101.78117048346057,0.6941046504536963,101.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0
1960,BER,0.0,0.0,0.0,0.0,0,0,0,0,0.0,BMU,42208.0,72400000.0,1715.31463229719,,,,,,4.10790014266968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,,,,66.482,,,,,,,,,,,,,,,,2974119.703292849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,BRA,0.0,0.0,2.0,2.0,3,1,4,8,1.6666666666666667,BRA,72388126.0,17030465539.3906,235.266009502589,0.641,4.0,Mediterranean/Subtropical,18.0,2.0,4.56816005706787,0.027628840674781385,0.11743660179894094,85.0101552803356,3.1201248049921997,0.0,0.0,0.0,0.0,8358140.0,8515770.0,0.0,,8.33457184,313.92590332,53.162,62225754.0,7491.0,320.0,25.0,,250.0,2400.0,,40.0,,2.023,1.731,673.2,22724507844.191975,294797358.48685133,777978924.3031496,0.027628840674781385,0.11743660179894094,85.0101552803356,3.1201248049921997,0.00023928768840914368,0.2669870511280203,0.625,0.08,0.8,0.0,0.0,0.0,0.0008333333333333334,0.05,0.0,0.23996433630836636,0.03762085700312253,0.0,0.9886307464162135,1.1554015020219526,2.9708853238265003,0.43781303085157763,72.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0
1960,BUL,1.0,3.0,3.0,7.0,1,3,2,6,2.0,BGR,7867374.0,19839230769.2308,2238.80295786574,0.706,2.0,Continental,5.0,7.0,3.52947998046875,0.8897505063315917,0.3528362607111002,31.266708735605427,9.91501416430595,0.12710721519022739,0.05040518010158574,4.466672676515061,1.41643059490085,110630.0,110990.0,0.0,,5.82970953,94.51976013,69.2475609756098,3491632.0,354.0,472.0,10.9,70.0,,,35.0,,1640.0,1.683,2.652,113.8,743622303.3329986,526136400.0000009,700221678.2789974,0.8897505063315917,0.3528362607111002,31.266708735605427,9.91501416430595,0.06327397631745459,19.774011299435028,1.4830508474576272,0.6422018348623852,0.0,10.0,0.0,0.0,0.0,0.0,0.2,1.2007459315044124,0.10108659281827301,0.426829268292683,4.159239453357101,2.6395173453996983,61.511423550087876,1.9832950006052537,98.0,7.0,1.0,3.0,3.0,7.0,1.0,3.0,3.0
1960,CAN,0.0,1.0,0.0,1.0,25,30,45,100,4.333333333333333,CAN,17909356.0,40563768946.9503,2264.94849658191,0.865,1.0,Arctic/Subarctic,-5.0,10.0,7.6842999458313,0.05583673695469564,0.024652541565055502,4.415111431933771,1.1560693641618498,0.0,0.0,0.0,0.0,8965590.0,15640500.0,0.361,,8.24808502,1988.15942383,71.1331707317073,14657129.0,202080.0,487.0,-5.4,230.0,220.0,100.0,280.0,15.0,1789.0,1.35,1.114,68.5,35606654906.12635,451880386.0690264,3117041675.2176356,0.05583673695469564,0.024652541565055502,4.415111431933771,1.1560693641618498,0.00011153755636829254,0.004948535233570863,0.2053388090349076,-0.18518518518518517,0.45454545454545453,0.4347826086956522,2770083.102493075,0.0,0.01,0.06666666666666667,0.0035714285714285713,0.1212402633550933,0.014058138976704639,0.05589714924538848,0.7407407407407407,0.8976660682226211,14.5985401459854,0.13013547194269737,85.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0
