Year,Country,Gold,Silver,Bronze,Total
1896,GRE,10.0,17.0,17.0,44.0
1896,USA,11.0,6.0,2.0,19.0
1896,GER,7.0,5.0,2.0,14.0
1896,FRA,5.0,4.0,2.0,11.0
1896,GBR,3.0,3.0,3.0,9.0
1896,DEN,1.0,2.0,3.0,6.0
1896,HUN,2.0,1.0,3.0,6.0
1896,AUT,2.0,1.0,2.0,5.0
1896,AUS,2.0,0.0,1.0,3.0
1896,SUI,1.0,2.0,0.0,3.0
1900,FRA,28.0,40.0,34.0,102.0
1900,USA,21.0,16.0,17.0,54.0
1900,GBR,19.0,11.0,12.0,42.0
1900,BEL,6.0,7.0,5.0,18.0
1900,SUI,6.0,2.0,1.0,9.0
1900,GER,4.0,3.0,1.0,8.0
1900,DEN,2.0,3.0,2.0,7.0
1900,NED,1.0,2.0,4.0,7.0
1900,AUS,3.0,0.0,3.0,6.0
1900,AUT,0.0,3.0,3.0,6.0
1900,HUN,1.0,2.0,2.0,5.0
1900,ITA,3.0,2.0,0.0,5.0
1900,NOR,0.0,2.0,3.0,5.0
1900,BOH,0.0,1.0,2.0,3.0
1900,CAN,1.0,0.0,1.0,2.0
1900,CUB,1.0,1.0,0.0,2.0
1900,IND,0.0,2.0,0.0,2.0
1900,SWE,1.0,0.0,1.0,2.0
1900,COL,0.0,1.0,0.0,1.0
1900,ESP,1.0,0.0,0.0,1.0
1900,HAI,1.0,0.0,0.0,1.0
1900,LUX,1.0,0.0,0.0,1.0
1900,MEX,0.0,0.0,1.0,1.0
1900,NZL,1.0,0.0,0.0,1.0
1904,USA,76.0,79.0,75.0,230.0
1904,GER,4.0,5.0,7.0,16.0
1904,CAN,4.0,1.0,1.0,6.0
1904,AUS,0.0,3.0,1.0,4.0
1904,AUT,2.0,1.0,1.0,4.0
1904,CUB,4.0,0.0,0.0,4.0
1904,HUN,2.0,1.0,1.0,4.0
1904,SUI,1.0,0.0,2.0,3.0
1904,FRA,0.0,2.0,0.0,2.0
1904,GBR,1.0,1.0,0.0,2.0
1904,GRE,1.0,0.0,1.0,2.0
1904,NOR,2.0,0.0,0.0,2.0
1906,FRA,15.0,10.0,16.0,41.0
1906,GRE,8.0,14.0,13.0,35.0
1906,GBR,8.0,12.0,5.0,25.0
1906,USA,12.0,5.0,6.0,23.0
1906,ITA,7.0,6.0,3.0,16.0
1906,GER,4.0,6.0,4.0,14.0
