Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
1960,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9035043.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1964,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9814318.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1968,AFG,0,0,0,0,0,0,0,0,0.0,AFG,10756922.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1972,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11853696.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1980,AFG,0,0,0,0,0,0,0,0,0.0,AFG,13169311.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1988,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11523298.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1996,AFG,0,0,0,0,0,0,0,0,0.0,AFG,17763266.0,,,0.334,3.0,Temperate,12.0,4.0,,0.0,,,0.0,0.0,,,0.0
2004,AFG,0,0,0,0,0,0,0,0,0.0,AFG,23560654.0,5224896718.67782,221.763653873013,0.408,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,AFG,0,0,1,1,0,0,0,0,0.0,AFG,26482622.0,10109297047.5432,381.73323802844,0.446,3.0,Temperate,12.0,4.0,,0.03776061146815447,0.09891884621621876,26.196304130202506,2.242152466367713,0.0,0.0,0.0,0.0
2012,AFG,0,0,1,1,0,0,1,1,0.3333333333333333,AFG,30560034.0,19907329777.5872,651.417134470046,0.484,3.0,Temperate,12.0,4.0,2.60419988632202,0.032722476683108404,0.050232754024392395,15.351146708990703,2.066115702479339,0.0,0.0,0.0,0.0
2016,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,34700612.0,18116572395.0772,522.082215583898,0.495,3.0,Temperate,12.0,4.0,4.54397010803223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,39068979.0,19955929052.1496,510.787063366811,0.501,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,AFG,0,0,0,0,0,0,2,2,0.3333333333333333,AFG,42647492.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1960,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
