Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg
1936,AFG,0,0,0,0,0,0,0,0,0.0
1948,AFG,0,0,0,0,0,0,0,0,0.0
1956,AFG,0,0,0,0,0,0,0,0,0.0
1960,AFG,0,0,0,0,0,0,0,0,0.0
1964,AFG,0,0,0,0,0,0,0,0,0.0
1968,AFG,0,0,0,0,0,0,0,0,0.0
1972,AFG,0,0,0,0,0,0,0,0,0.0
1980,AFG,0,0,0,0,0,0,0,0,0.0
1988,AFG,0,0,0,0,0,0,0,0,0.0
1996,AFG,0,0,0,0,0,0,0,0,0.0
2004,AFG,0,0,0,0,0,0,0,0,0.0
2008,AFG,0,0,1,1,0,0,0,0,0.0
2012,AFG,0,0,1,1,0,0,1,1,0.3333333333333333
2016,AFG,0,0,0,0,0,0,2,2,0.6666666666666666
2020,AFG,0,0,0,0,0,0,2,2,0.6666666666666666
2024,AFG,0,0,0,0,0,0,2,2,0.3333333333333333
1952,AHO,0,0,0,0,0,0,0,0,0.0
1960,AHO,0,0,0,0,0,0,0,0,0.0
1964,AHO,0,0,0,0,0,0,0,0,0.0
1968,AHO,0,0,0,0,0,0,0,0,0.0
1972,AHO,0,0,0,0,0,0,0,0,0.0
1976,AHO,0,0,0,0,0,0,0,0,0.0
1984,AHO,0,0,0,0,0,0,0,0,0.0
1988,AHO,0,1,0,1,0,0,0,0,0.0
1992,AHO,0,0,0,0,0,1,0,1,0.3333333333333333
1996,AHO,0,0,0,0,0,1,0,1,0.3333333333333333
2000,AHO,0,0,0,0,0,1,0,1,0.3333333333333333
2004,AHO,0,0,0,0,0,1,0,1,0.0
2008,AHO,0,0,0,0,0,1,0,1,0.0
2024,AIN,1,3,1,5,0,0,0,0,0.0
1972,ALB,0,0,0,0,0,0,0,0,0.0
1992,ALB,0,0,0,0,0,0,0,0,0.0
1996,ALB,0,0,0,0,0,0,0,0,0.0
2000,ALB,0,0,0,0,0,0,0,0,0.0
2004,ALB,0,0,0,0,0,0,0,0,0.0
2008,ALB,0,0,0,0,0,0,0,0,0.0
2012,ALB,0,0,0,0,0,0,0,0,0.0
2016,ALB,0,0,0,0,0,0,0,0,0.0
2020,ALB,0,0,0,0,0,0,0,0,0.0
2024,ALB,0,0,2,2,0,0,0,0,0.0
1964,ALG,0,0,0,0,0,0,0,0,0.0
1968,ALG,0,0,0,0,0,0,0,0,0.0
1972,ALG,0,0,0,0,0,0,0,0,0.0
1980,ALG,0,0,0,0,0,0,0,0,0.0
1984,ALG,0,0,2,2,0,0,0,0,0.0
1988,ALG,0,0,0,0,0,0,2,2,0.6666666666666666
1992,ALG,1,0,1,2,0,0,2,2,0.6666666666666666
1996,ALG,2,0,1,3,1,0,3,4,1.3333333333333333
2000,ALG,1,1,3,5,3,0,4,7,1.6666666666666667
2004,ALG,0,0,0,0,4,1,7,12,3.3333333333333335
2008,ALG,0,1,1,2,4,1,7,12,2.6666666666666665
2012,ALG,1,0,0,1,4,2,8,14,2.3333333333333335
2016,ALG,0,2,0,2,5,2,8,15,1.0
2020,ALG,0,0,0,0,5,4,8,17,1.6666666666666667
2024,ALG,2,0,1,3,5,4,8,17,1.0
1976,AND,0,0,0,0,0,0,0,0,0.0
1980,AND,0,0,0,0,0,0,0,0,0.0
1984,AND,0,0,0,0,0,0,0,0,0.0
1988,AND,0,0,0,0,0,0,0,0,0.0
1992,AND,0,0,0,0,0,0,0,0,0.0
1996,AND,0,0,0,0,0,0,0,0,0.0
2000,AND,0,0,0,0,0,0,0,0,0.0
2004,AND,0,0,0,0,0,0,0,0,0.0
2008,AND,0,0,0,0,0,0,0,0,0.0
2012,AND,0,0,0,0,0,0,0,0,0.0
2016,AND,0,0,0,0,0,0,0,0,0.0
2020,AND,0,0,0,0,0,0,0,0,0.0
2024,AND,0,0,0,0,0,0,0,0,0.0
1980,ANG,0,0,0,0,0,0,0,0,0.0
1988,ANG,0,0,0,0,0,0,0,0,0.0
1992,ANG,0,0,0,0,0,0,0,0,0.0
1996,ANG,0,0,0,0,0,0,0,0,0.0
2000,ANG,0,0,0,0,0,0,0,0,0.0
2004,ANG,0,0,0,0,0,0,0,0,0.0
2008,ANG,0,0,0,0,0,0,0,0,0.0
2012,ANG,0,0,0,0,0,0,0,0,0.0
2016,ANG,0,0,0,0,0,0,0,0,0.0
2020,ANG,0,0,0,0,0,0,0,0,0.0
2024,ANG,0,0,0,0,0,0,0,0,0.0
1976,ANT,0,0,0,0,0,0,0,0,0.0
1984,ANT,0,0,0,0,0,0,0,0,0.0
1988,ANT,0,0,0,0,0,0,0,0,0.0
1992,ANT,0,0,0,0,0,0,0,0,0.0
1996,ANT,0,0,0,0,0,0,0,0,0.0
2000,ANT,0,0,0,0,0,0,0,0,0.0
2004,ANT,0,0,0,0,0,0,0,0,0.0
2008,ANT,0,0,0,0,0,0,0,0,0.0
2012,ANT,0,0,0,0,0,0,0,0,0.0
2016,ANT,0,0,0,0,0,0,0,0,0.0
2020,ANT,0,0,0,0,0,0,0,0,0.0
2024,ANT,0,0,0,0,0,0,0,0,0.0
1908,ANZ,1,2,2,5,0,0,0,0,0.0
1912,ANZ,2,2,3,7,1,2,2,5,5.0
1900,ARG,0,0,0,0,0,0,0,0,0.0
1908,ARG,0,0,0,0,0,0,0,0,0.0
1920,ARG,0,0,0,0,0,0,0,0,0.0
1924,ARG,1,3,2,6,0,0,0,0,0.0
1928,ARG,3,3,1,7,1,3,2,6,2.0
1932,ARG,3,1,0,4,4,6,3,13,4.333333333333333
1936,ARG,2,2,3,7,7,7,3,17,5.666666666666667
1948,ARG,3,3,1,7,9,9,6,24,6.0
1952,ARG,1,2,2,5,12,12,7,31,6.0
1956,ARG,0,1,1,2,13,14,9,36,6.333333333333333
1960,ARG,0,1,1,2,13,15,10,38,4.666666666666667
1964,ARG,0,1,0,1,13,16,11,40,3.0
1968,ARG,0,0,2,2,13,17,11,41,1.6666666666666667
1972,ARG,0,1,0,1,13,17,13,43,1.6666666666666667
1976,ARG,0,0,0,0,13,18,13,44,1.3333333333333333
1984,ARG,0,0,0,0,13,18,13,44,1.0
1988,ARG,0,1,1,2,13,18,13,44,0.3333333333333333
1992,ARG,0,0,1,1,13,19,14,46,0.6666666666666666
1996,ARG,0,2,1,3,13,19,15,47,1.0
2000,ARG,0,2,2,4,13,21,16,50,2.0
2004,ARG,2,0,4,6,13,23,18,54,2.6666666666666665
2008,ARG,2,0,4,6,15,23,22,60,4.333333333333333
2012,ARG,1,1,2,4,17,23,26,66,5.333333333333333
2016,ARG,3,1,0,4,18,24,28,70,5.333333333333333
2020,ARG,0,1,2,3,21,25,28,74,4.666666666666667
2024,ARG,1,1,1,3,21,26,30,77,3.6666666666666665
1996,ARM,1,1,0,2,0,0,0,0,0.0
2000,ARM,0,0,1,1,1,1,0,2,2.0
2004,ARM,0,0,0,0,1,1,1,3,1.5
2008,ARM,0,0,6,6,1,1,1,3,1.0
2012,ARM,0,1,2,3,1,1,7,9,2.3333333333333335
2016,ARM,1,3,0,4,1,2,9,12,3.0
2020,ARM,0,2,2,4,2,5,9,16,4.333333333333333
2024,ARM,0,3,1,4,2,7,11,20,3.6666666666666665
1988,ARU,0,0,0,0,0,0,0,0,0.0
