Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands,Healthcare_Spending_USD,Military_Expenditure_USD,Education_Spending_USD,Medals_Per_Million,Medals_Per_Billion_GDP,Medals_Per_GDP_Per_Capita,Medals_Per_HDI,Medals_Per_1000_SqKm,Medals_Per_1000_Km_Coastline,Medals_Per_100m_Elevation,Medals_Per_Degree_Temp,Medals_Per_100_Sunshine_Days,Medals_Per_100_Cm_Snowfall,Medals_Per_Million_Internet_Users,Medals_Per_1000_Vehicles,Medals_Per_University,Medals_Per_Stadium,Medals_Per_Ski_Resort,Medals_Per_Pct_Healthcare_Spending,Medals_Per_Year_Life_Expectancy,Medals_Per_100_Work_Hours,Medals_Per_Peace_Index_Point,Medals_Per_Pct_Military_Spending,Medals_Per_1000_Military_Personnel,Medals_Per_Pct_Education_Spending,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
1960,ARG,0,0,0,0,0,0,0,0,0.0,ARG,20386045.0,15865474315.4056,778.251706763404,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,64.242,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,AUS,0,0,0,0,1,0,0,1,0.0,AUS,10276477.0,18635682981.7093,1813.43109917039,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,70.8170731707317,,25760.0,330.0,21.7,,310.0,43.0,12.0,15.0,,1.525,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,AUT,1,2,3,6,11,16,13,40,9.0,AUT,7047539.0,6624086313.14334,939.914814681174,,2.0,Continental,5.0,7.0,,0.8513610212018692,0.9057852987354582,63.835572184647866,0.0,0.1418935035336448,0.1509642164559097,10.639262030774644,0.0,,,,,,,68.5856097560976,,0.0,910.0,6.5,130.0,200.0,22.0,400.0,5.0,,1.313,,,,,,0.8513610212018692,0.9057852987354582,63.835572184647866,0.0,0.0,0.0,0.6593406593406593,0.9230769230769232,3.0,4.615384615384615,0.0,0.0,0.2727272727272727,1.2,0.015,0.0,0.0874819079590755,0.0,4.5696877380045695,0.0,0.0,0.0,26.0,5.0,1.0,2.0,2.0,6.0,1.0,2.0,3.0
1960,BUL,0,0,0,0,0,0,0,0,0.0,BGR,7867374.0,,,,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,69.2475609756098,,354.0,472.0,10.9,70.0,,,35.0,,,1.683,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,CAN,2,1,1,4,6,3,9,18,2.6666666666666665,CAN,17909356.0,40563768946.9503,2264.94849658191,,1.0,Arctic/Subarctic,-5.0,10.0,,0.2233469478187825,0.098610166260222,17.660445727735084,0.0,0.1116734739093912,0.049305083130111,8.830222863867542,0.0,,,,,,,71.1331707317073,,202080.0,487.0,-5.4,230.0,220.0,100.0,280.0,15.0,,1.35,,,,,,0.2233469478187825,0.098610166260222,17.660445727735084,0.0,0.0,0.0197941409342834,0.8213552361396304,-0.7407407407407407,1.818181818181818,1.7391304347826089,0.0,0.0,0.04,0.2666666666666666,0.0142857142857142,0.0,0.0562325559068185,0.0,2.962962962962963,0.0,0.0,0.0,44.0,21.0,3.0,17.0,1.0,21.0,3.0,17.0,1.0
1960,CHI,0,0,0,0,0,0,0,0,0.0,CHL,,4211103676.74027,516.487539077836,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,57.216,,6435.0,1871.0,8.9,150.0,280.0,60.0,18.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,DEN,0,0,0,0,0,0,0,0,0.0,DNK,4579603.0,6361166544.50349,1389.0213943225,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,72.1765853658537,,7314.0,34.0,8.9,,170.0,8.0,,4.0,,1.382,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,ESP,0,0,0,0,0,0,0,0,0.0,ESP,30455000.0,12424514013.7604,407.96302786933,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,69.1092682926829,,4964.0,660.0,14.1,,300.0,83.0,35.0,25.0,,1.471,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,FIN,2,3,3,8,15,18,13,46,7.333333333333333,FIN,4429634.0,5279481824.12983,1191.85508873415,,1.0,Arctic/Subarctic,-5.0,10.0,,1.8060182850321267,1.5153002257600476,67.1222540023441,0.0,0.4515045712580317,0.3788250564400119,16.780563500586027,0.0,,,,,,,68.819756097561,,1250.0,164.0,1.7,120.0,180.0,13.0,75.0,4.0,,1.439,,,,,,1.8060182850321267,1.5153002257600476,67.1222540023441,0.0,0.0,6.4,4.878048780487805,4.705882352941177,4.444444444444445,6.666666666666667,0.0,0.0,0.6153846153846154,2.0,0.1066666666666666,0.0,0.1162456895176866,0.0,5.559416261292564,0.0,0.0,0.0,48.0,11.0,5.0,2.0,4.0,13.0,5.0,3.0,5.0
1960,FRA,1,0,2,3,4,1,7,12,2.0,FRA,47412964.0,61959085885.3427,1306.79629911648,,2.0,Continental,5.0,7.0,,0.0632738337134965,0.0484190487501961,22.95690615307289,0.0,0.0210912779044988,0.016139682916732,7.652302051024296,0.0,,,,,,,69.8682926829268,,3427.0,375.0,12.4,40.0,230.0,83.0,350.0,20.0,,1.653,,,,,,0.0632738337134965,0.0484190487501961,22.95690615307289,0.0,0.0,0.8754012255617157,0.8,0.2419354838709677,1.3043478260869563,7.5,0.0,0.0,0.036144578313253,0.15,0.0085714285714285,0.0,0.0429379319974865,0.0,1.8148820326678765,0.0,0.0,0.0,26.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0
1960,GBR,0,0,0,0,4,2,6,12,1.0,GBR,52400000.0,73233967692.1028,1397.5948032844,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,71.1268292682927,,12429.0,162.0,9.7,20.0,160.0,160.0,,30.0,,1.693,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,GER,4,3,1,8,7,5,6,18,5.0,DEU,72814900.0,84619845881.2608,1162.12266831735,,2.0,Continental,5.0,7.0,,0.1098676232474397,0.0945404699888683,68.83954868192431,0.0,0.0549338116237198,0.0472702349944341,34.41977434096216,0.0,,,,,,,69.0640731707317,,2389.0,263.0,9.3,30.0,180.0,400.0,500.0,35.0,,1.458,,,,,,0.1098676232474397,0.0945404699888683,68.83954868192431,0.0,0.0,3.348681456676434,3.0418250950570345,0.8602150537634408,4.444444444444445,26.666666666666668,0.0,0.0,0.02,0.2285714285714285,0.016,0.0,0.1158344654857437,0.0,5.486968449931413,0.0,0.0,0.0,74.0,8.0,4.0,3.0,1.0,9.0,4.0,4.0,1.0
1960,HUN,0,0,0,0,0,1,4,5,1.0,HUN,9983512.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,68.0031707317073,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,ISL,0,0,0,0,0,0,0,0,0.0,ISL,175574.0,260984498.826389,1486.46439009414,,1.0,Arctic/Subarctic,-5.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,74.0400731707317,,4970.0,500.0,1.9,150.0,,,,,,1.112,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,ITA,0,0,1,1,3,2,1,6,2.0,ITA,50199700.0,42012422612.3955,836.905850281885,,2.0,Continental,5.0,7.0,,0.0199204377715404,0.0238024835945774,11.9487753570271,0.0,0.0,0.0,0.0,0.0,,,,,,,69.1239024390244,,7600.0,538.0,13.5,60.0,270.0,97.0,350.0,30.0,,1.537,,,,,,0.0199204377715404,0.0238024835945774,11.9487753570271,0.0,0.0,0.131578947368421,0.1858736059479554,0.074074074074074,0.3703703703703703,1.6666666666666667,0.0,0.0,0.0103092783505154,0.0333333333333333,0.0028571428571428,0.0,0.0144667758143736,0.0,0.6506180871828238,0.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1960,JPN,0,0,0,0,0,1,0,1,0.3333333333333333,JPN,93216000.0,47419238274.4619,508.702779291773,,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,67.6956097560976,,29751.0,438.0,11.1,380.0,200.0,780.0,500.0,40.0,,1.336,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,KOR,0,0,0,0,0,0,0,0,0.0,KOR,25012374.0,3973069306.93069,158.844150776359,,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,53.7975609756098,,2413.0,282.0,11.5,40.0,220.0,400.0,18.0,20.0,,1.769,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,LIB,0,0,0,0,0,0,0,0,0.0,LBN,,,,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
