Year,Country,Gold,Silver,Bronze,Total
1924,AUS,1,0,0,1
1924,AUT,2,1,0,3
1924,BEL,0,0,1,1
1924,CAN,1,0,0,1
1924,FIN,4,4,3,11
1924,FRA,0,0,3,3
1924,GBR,2,1,2,5
1924,HUN,0,0,0,0
1924,IND,1,0,0,1
1924,ITA,0,0,0,0
1924,LAT,0,0,0,0
1924,NEP,1,0,0,1
1924,NOR,4,7,6,17
1924,POL,0,0,0,0
1924,SUI,2,0,1,3
1924,SWE,1,1,0,2
1924,TCH,0,0,0,0
1924,USA,1,2,1,4
1924,YUG,0,0,0,0
1928,ARG,0,0,0,0
1928,AUT,0,3,1,4
1928,BEL,0,0,1,1
1928,CAN,1,0,0,1
1928,EST,0,0,0,0
1928,FIN,2,1,1,4
1928,FRA,1,0,0,1
1928,GBR,0,0,1,1
1928,GER,0,0,1,1
1928,HUN,0,0,0,0
1928,ITA,0,0,0,0
1928,JPN,0,0,0,0
1928,LAT,0,0,0,0
1928,LTU,0,0,0,0
1928,LUX,0,0,0,0
1928,MEX,0,0,0,0
1928,NED,0,0,0,0
1928,NOR,6,4,5,15
1928,POL,0,0,0,0
1928,ROU,0,0,0,0
1928,SUI,0,0,1,1
1928,SWE,2,2,1,5
1928,TCH,0,0,1,1
1928,USA,2,2,2,6
1928,YUG,0,0,0,0
1932,AUT,1,1,0,2
1932,BEL,0,0,0,0
1932,CAN,1,1,5,7
1932,FIN,1,1,1,3
1932,FRA,1,0,0,1
1932,GBR,0,0,0,0
1932,GER,0,0,2,2
1932,HUN,0,0,1,1
1932,ITA,0,0,0,0
1932,JPN,0,0,0,0
1932,NOR,3,4,3,10
1932,POL,0,0,0,0
1932,ROU,0,0,0,0
1932,SUI,0,1,0,1
1932,SWE,1,2,0,3
1932,TCH,0,0,0,0
1932,USA,6,4,2,12
1936,AUS,0,0,0,0
1936,AUT,1,1,2,4
1936,BEL,0,0,0,0
1936,BUL,0,0,0,0
1936,CAN,0,1,0,1
1936,ESP,0,0,0,0
1936,EST,0,0,0,0
1936,FIN,1,2,3,6
1936,FRA,0,0,1,1
1936,GBR,1,1,1,3
1936,GER,3,3,0,6
1936,GRE,0,0,0,0
1936,HUN,0,0,1,1
1936,ITA,0,0,0,0
1936,JPN,0,0,0,0
1936,LAT,0,0,0,0
1936,LIE,0,0,0,0
1936,LUX,0,0,0,0
1936,NED,0,0,0,0
1936,NOR,7,5,3,15
1936,POL,0,0,0,0
1936,ROU,0,0,0,0
1936,SUI,1,2,0,3
1936,SWE,2,2,3,7
1936,TCH,0,0,0,0
1936,TUR,0,0,0,0
1936,USA,1,0,3,4
1936,YUG,0,0,0,0
1948,ARG,0,0,0,0
1948,AUT,1,3,4,8
1948,BEL,1,1,0,2
1948,BUL,0,0,0,0
1948,CAN,2,0,1,3
1948,CHI,0,0,0,0
1948,DEN,0,0,0,0
1948,ESP,0,0,0,0
1948,FIN,1,3,2,6
1948,FRA,2,1,2,5
1948,GBR,0,0,2,2
1948,GRE,0,0,0,0
1948,HUN,0,1,0,1
1948,ISL,0,0,0,0
1948,ITA,1,0,0,1
1948,KOR,0,0,0,0
1948,LIB,0,0,0,0
1948,LIE,0,0,0,0
1948,NED,0,0,0,0
1948,NOR,4,3,3,10
1948,POL,0,0,0,0
1948,ROU,0,0,0,0
1948,SUI,3,4,2,9
1948,SWE,4,3,3,10
1948,TCH,0,1,0,1
1948,TUR,0,0,0,0
1948,USA,3,3,2,8
1948,YUG,0,0,0,0
1952,ARG,0,0,0,0
1952,AUS,0,0,0,0
1952,AUT,2,4,2,8
1952,BEL,0,0,0,0
1952,BUL,0,0,0,0
1952,CAN,1,0,1,2
1952,CHI,0,0,0,0
1952,DEN,0,0,0,0
1952,ESP,0,0,0,0
1952,FIN,3,4,2,9
1952,FRA,0,0,1,1
1952,GBR,1,0,0,1
1952,GER,3,2,2,7
1952,GRE,0,0,0,0
1952,HUN,0,0,1,1
1952,ISL,0,0,0,0
1952,ITA,1,0,1,2
1952,JPN,0,0,0,0
1952,LIB,0,0,0,0
1952,NED,0,3,0,3
1952,NOR,7,3,6,16
1952,NZL,0,0,0,0
1952,POL,0,0,0,0
1952,POR,0,0,0,0
1952,ROU,0,0,0,0
1952,SUI,0,0,2,2
1952,SWE,0,0,4,4
1952,TCH,0,0,0,0
1952,USA,4,6,1,11
1952,YUG,0,0,0,0
1956,AUS,0,0,0,0
1956,AUT,4,3,4,11
1956,BEL,0,0,0,0
1956,BOL,0,0,0,0
1956,BUL,0,0,0,0
1956,CAN,0,1,2,3
1956,CHI,0,0,0,0
1956,ESP,0,0,0,0
1956,FIN,3,3,1,7
1956,FRA,0,0,0,0
1956,GBR,0,0,0,0
1956,GER,1,0,1,2
1956,GRE,0,0,0,0
1956,HUN,0,0,1,1
1956,IRI,0,0,0,0
1956,ISL,0,0,0,0
1956,ITA,1,2,0,3
1956,JPN,0,1,0,1
1956,KOR,0,0,0,0
1956,LIB,0,0,0,0
1956,LIE,0,0,0,0
1956,NED,0,0,0,0
1956,NOR,2,1,1,4
1956,POL,0,0,1,1
1956,ROU,0,0,0,0
1956,SUI,3,2,1,6
1956,SWE,2,4,4,10
1956,TCH,0,0,0,0
1956,TUR,0,0,0,0
1956,URS,6,3,6,15
1956,USA,2,3,2,7
1956,YUG,0,0,0,0
1960,ARG,0,0,0,0
1960,AUS,0,0,0,0
1960,AUT,1,2,3,6
1960,BUL,0,0,0,0
1960,CAN,2,1,1,4
1960,CHI,0,0,0,0
1960,DEN,0,0,0,0
1960,ESP,0,0,0,0
1960,FIN,2,3,3,8
1960,FRA,1,0,2,3
1960,GBR,0,0,0,0
1960,GER,4,3,1,8
1960,HUN,0,0,0,0
1960,ISL,0,0,0,0
1960,ITA,0,0,1,1
1960,JPN,0,0,0,0
1960,KOR,0,0,0,0
1960,LIB,0,0,0,0
1960,LIE,0,0,0,0
1960,NED,0,1,1,2
1960,NOR,3,3,0,6
1960,NZL,0,0,0,0
1960,POL,0,1,1,2
1960,RSA,0,0,0,0
1960,SUI,2,0,0,2
1960,SWE,3,2,2,7
1960,TCH,0,1,0,1
1960,TUR,0,0,0,0
1960,URS,7,5,9,21
1960,USA,3,4,3,10
1964,ARG,0,0,0,0
1964,AUS,0,0,0,0
1964,AUT,4,5,3,12
1964,BEL,0,0,0,0
1964,BUL,0,0,0,0
1964,CAN,1,1,1,3
1964,CHI,0,0,0,0
1964,DEN,0,0,0,0
1964,ESP,0,0,0,0
1964,FIN,3,4,3,10
1964,FRA,3,4,0,7
1964,GBR,1,0,0,1
1964,GER,3,3,3,9
1964,GRE,0,0,0,0
1964,HUN,0,0,0,0
1964,IND,0,0,0,0
1964,IRI,0,0,0,0
1964,ISL,0,0,0,0
1964,ITA,0,1,3,4
1964,JPN,0,0,0,0
1964,KOR,0,0,0,0
1964,LIB,0,0,0,0
1964,LIE,0,0,0,0
1964,MGL,0,0,0,0
1964,NED,1,1,0,2
1964,NOR,3,6,6,15
1964,POL,0,0,0,0
1964,PRK,0,1,0,1
1964,ROU,0,0,0,0
1964,SUI,0,0,0,0
1964,SWE,3,3,1,7
1964,TCH,0,0,1,1
1964,TUR,0,0,0,0
1964,URS,11,7,6,24
1964,USA,1,2,4,7
1964,YUG,0,0,0,0
1968,ARG,0,0,0,0
1968,AUS,0,0,0,0
1968,AUT,3,4,4,11
1968,BUL,0,0,0,0
1968,CAN,1,1,1,3
1968,CHI,0,0,0,0
1968,DEN,0,0,0,0
1968,ESP,0,0,0,0
1968,FIN,1,2,2,5
1968,FRA,4,3,2,9
1968,FRG,2,2,3,7
1968,GBR,0,0,0,0
1968,GDR,1,2,2,5
1968,GRE,0,0,0,0
1968,HUN,0,0,0,0
1968,IND,0,0,0,0
1968,IRI,0,0,0,0
1968,ISL,0,0,0,0
