Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
1988,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1992,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2026,AIN,0,1,0,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2006,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2992547.0,9150528132.17633,3057.77257038113,0.732,2.0,Continental,5.0,7.0,3.1914598941803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2913021.0,12086545641.299,4149.14469936847,0.769,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2773767.0,13296322588.1684,4793.59751131525,0.797,2.0,Continental,5.0,7.0,3.18177734553254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2607733.0,15379508329.7568,5897.65452588774,0.801,2.0,Continental,5.0,7.0,3.08201370407389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2451636.0,19017247013.8821,7756.96188744253,0.806,2.0,Continental,5.0,7.0,2.72976994514465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,,2.0,Continental,5.0,7.0,,,,,,,,,
1992,ALG,0,0,0,0,0,0,0,0,0.0,DZA,26628568.0,48003133346.9957,1802.69300801289,0.601,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ALG,0,0,0,0,0,0,0,0,0.0,DZA,33623506.0,123084258693.01,3660.66104745322,0.698,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,ALG,0,0,0,0,0,0,0,0,0.0,DZA,36188236.0,177785053939.531,4912.78585503672,0.718,4.0,Mediterranean/Subtropical,18.0,2.0,8.6917709007891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,AND,0,0,0,0,0,0,0,0,0.0,AND,29436.0,227283850.831271,7721.28858646797,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,AND,0,0,0,0,0,0,0,0,0.0,AND,35782.0,446377776.798001,12474.9252919904,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,AND,0,0,0,0,0,0,0,0,0.0,AND,42273.0,330073080.637098,7808.13002713549,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,AND,0,0,0,0,0,0,0,0,0.0,AND,49416.0,721425939.15155,14599.0355178798,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,AND,0,0,0,0,0,0,0,0,0.0,AND,60200.0,1209992020.29543,20099.5352208543,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1994,AND,0,0,0,0,0,0,0,0,0.0,AND,64612.0,1017544068.8408,15748.5307503373,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1998,AND,0,0,0,0,0,0,0,0,0.0,AND,65382.0,1211953994.05714,18536.5084282698,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2002,AND,0,0,0,0,0,0,0,0,0.0,AND,66506.0,1764279817.95815,26528.1300628236,0.838,,,,,1.65971004962921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,AND,0,0,0,0,0,0,0,0,0.0,AND,79585.0,3459336818.03742,43467.1963063068,0.851,,,,,2.24489998817444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,AND,0,0,0,0,0,0,0,0,0.0,AND,80706.0,3449925693.58181,42746.830391567,0.87,,,,,2.97662997245789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,AND,0,0,0,0,0,0,0,0,0.0,AND,73737.0,3271686452.47686,44369.6712976777,0.866,,,,,3.07420992851257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,AND,0,0,0,0,0,0,0,0,0.0,AND,75162.0,3218418631.67579,42819.7577456133,0.875,,,,,3.2467200756073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AND,0,0,0,0,0,0,0,0,0.0,AND,79705.0,3380611694.73392,42414.0479861228,0.893,,,,,2.64727997779846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,
1960,ARG,0,0,0,0,0,0,0,0,0.0,ARG,20386045.0,15865474315.4056,778.251706763404,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1964,ARG,0,0,0,0,0,0,0,0,0.0,ARG,21769453.0,25605249381.7597,1176.20086190313,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1968,ARG,0,0,0,0,0,0,0,0,0.0,ARG,23150583.0,26436857247.4982,1141.95211617341,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1972,ARG,0,0,0,0,0,0,0,0,0.0,ARG,24644328.0,34733000536.2862,1409.37097316211,,3.0,Temperate,12.0,4.0,1.93620002269745,0.0,0.0,0.0,,0.0,0.0,0.0,
1976,ARG,0,0,0,0,0,0,0,0,0.0,ARG,26282283.0,51169499892.1722,1946.91990388248,,3.0,Temperate,12.0,4.0,1.16563999652863,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,ARG,0,0,0,0,0,0,0,0,0.0,ARG,28011596.0,76961923741.0701,2747.5022751674,,3.0,Temperate,12.0,4.0,2.60715007781982,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,ARG,0,0,0,0,0,0,0,0,0.0,ARG,29863093.0,116915052107.031,3915.03492645691,,3.0,Temperate,12.0,4.0,2.56972002983093,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,ARG,0,0,0,0,0,0,0,0,0.0,ARG,31780532.0,126890235049.092,3992.70330179156,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,ARG,0,0,0,0,0,0,0,0,0.0,ARG,33693527.0,228778917308.17,6789.99611136495,0.743,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,ARG,0,0,0,0,0,0,0,0,0.0,ARG,34613491.0,257440000000.0,7437.56242327594,0.753,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,ARG,0,0,0,0,0,0,0,0,0.0,ARG,36372860.0,298948250000.0,8218.99212764682,0.772,3.0,Temperate,12.0,4.0,4.03986978530884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,ARG,0,0,0,0,0,0,0,0,0.0,ARG,38029349.0,97724004251.8602,2569.69963519124,0.795,3.0,Temperate,12.0,4.0,4.01734018325806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ARG,0,0,0,0,0,0,0,0,0.0,ARG,39622115.0,232557260817.308,5869.38028970204,0.822,3.0,Temperate,12.0,4.0,4.12821006774902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,ARG,0,0,0,0,0,0,0,0,0.0,ARG,41288694.0,423627422092.49,10260.1313108254,0.844,3.0,Temperate,12.0,4.0,5.01971006393433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ARG,0,0,0,0,0,0,0,0,0.0,ARG,43024071.0,526319673731.638,12233.1444119186,0.855,3.0,Temperate,12.0,4.0,5.36144018173218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,ARG,0,0,0,0,0,0,0,0,0.0,ARG,44654882.0,524819892360.176,11752.7998922979,0.861,3.0,Temperate,12.0,4.0,4.87773990631104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,ARG,0,0,0,0,0,0,0,0,0.0,ARG,45407904.0,633993756301.08,13962.1894087223,0.858,3.0,Temperate,12.0,4.0,4.79263019561768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,ARG,0,0,0,0,0,0,0,0,0.0,ARG,,,,,3.0,Temperate,12.0,4.0,,,,,,,,,
1994,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3364610.0,1315158636.67553,390.879964297655,0.625,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3208401.0,1893726437.26462,590.239947333459,0.655,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3199800.0,2376335048.39976,742.651118319819,0.682,2.0,Continental,5.0,7.0,2.13504004478455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3127100.0,6384452066.5146,2041.65267068997,0.725,2.0,Continental,5.0,7.0,2.71577000617981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3044800.0,9260285755.62424,3041.34450723339,0.747,2.0,Continental,5.0,7.0,3.24900007247925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ARM,0,0,0,0,0,0,0,0,0.0,ARM,3013800.0,11609513246.7958,3852.11800610384,0.772,2.0,Continental,5.0,7.0,2.24724006652832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,ARM,0,0,0,0,0,0,0,0,0.0,ARM,2969000.0,12457940694.7395,4196.00562301769,0.789,2.0,Continental,5.0,7.0,2.11331180512289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,ARM,0,0,0,0,0,0,0,0,0.0,ARM,2969200.0,19513506553.1251,6571.97445545099,0.801,2.0,Continental,5.0,7.0,2.4918999671936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,ARM,0,0,0,0,0,0,0,0,0.0,ARM,,,,,2.0,Continental,5.0,7.0,,,,,,,,,
1994,ASA,0,0,0,0,0,0,0,0,0.0,ASM,51251.0,,,,,,,,,0.0,,,,0.0,,,
2022,ASA,0,0,0,0,0,0,0,0,0.0,ASM,48342.0,871000000.0,18017.4589383973,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1960,AUS,0,0,0,0,1,0,0,1,0.0,AUS,10276477.0,18635682981.7093,1813.43109917039,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1964,AUS,0,0,0,0,1,0,0,1,0.0,AUS,11167000.0,23835843813.735,2134.48946124608,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1968,AUS,0,0,0,0,1,0,0,1,0.0,AUS,12009000.0,32763365242.1384,2728.23426114901,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1972,AUS,0,0,0,0,1,0,0,1,0.0,AUS,13177000.0,52117990654.2056,3955.22430403017,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1976,AUS,0,0,0,0,1,0,0,1,0.0,AUS,14033000.0,105209354855.787,7497.28175413577,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
