Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg
1988,AHO,0,0,0,0,0,0,0,0,0.0
1992,AHO,0,0,0,0,0,0,0,0,0.0
2026,AIN,0,1,0,1,0,0,0,0,0.0
2006,ALB,0,0,0,0,0,0,0,0,0.0
2010,ALB,0,0,0,0,0,0,0,0,0.0
2014,ALB,0,0,0,0,0,0,0,0,0.0
2018,ALB,0,0,0,0,0,0,0,0,0.0
2022,ALB,0,0,0,0,0,0,0,0,0.0
2026,ALB,0,0,0,0,0,0,0,0,0.0
1992,ALG,0,0,0,0,0,0,0,0,0.0
2006,ALG,0,0,0,0,0,0,0,0,0.0
2010,ALG,0,0,0,0,0,0,0,0,0.0
1976,AND,0,0,0,0,0,0,0,0,0.0
1980,AND,0,0,0,0,0,0,0,0,0.0
1984,AND,0,0,0,0,0,0,0,0,0.0
1988,AND,0,0,0,0,0,0,0,0,0.0
1992,AND,0,0,0,0,0,0,0,0,0.0
1994,AND,0,0,0,0,0,0,0,0,0.0
1998,AND,0,0,0,0,0,0,0,0,0.0
2002,AND,0,0,0,0,0,0,0,0,0.0
2006,AND,0,0,0,0,0,0,0,0,0.0
2010,AND,0,0,0,0,0,0,0,0,0.0
2014,AND,0,0,0,0,0,0,0,0,0.0
2018,AND,0,0,0,0,0,0,0,0,0.0
2022,AND,0,0,0,0,0,0,0,0,0.0
2026,AND,0,0,0,0,0,0,0,0,0.0
1928,ARG,0,0,0,0,0,0,0,0,0.0
1948,ARG,0,0,0,0,0,0,0,0,0.0
1952,ARG,0,0,0,0,0,0,0,0,0.0
1960,ARG,0,0,0,0,0,0,0,0,0.0
1964,ARG,0,0,0,0,0,0,0,0,0.0
1968,ARG,0,0,0,0,0,0,0,0,0.0
1972,ARG,0,0,0,0,0,0,0,0,0.0
1976,ARG,0,0,0,0,0,0,0,0,0.0
1980,ARG,0,0,0,0,0,0,0,0,0.0
1984,ARG,0,0,0,0,0,0,0,0,0.0
1988,ARG,0,0,0,0,0,0,0,0,0.0
1992,ARG,0,0,0,0,0,0,0,0,0.0
1994,ARG,0,0,0,0,0,0,0,0,0.0
1998,ARG,0,0,0,0,0,0,0,0,0.0
2002,ARG,0,0,0,0,0,0,0,0,0.0
2006,ARG,0,0,0,0,0,0,0,0,0.0
2010,ARG,0,0,0,0,0,0,0,0,0.0
2014,ARG,0,0,0,0,0,0,0,0,0.0
2018,ARG,0,0,0,0,0,0,0,0,0.0
2022,ARG,0,0,0,0,0,0,0,0,0.0
2026,ARG,0,0,0,0,0,0,0,0,0.0
1994,ARM,0,0,0,0,0,0,0,0,0.0
1998,ARM,0,0,0,0,0,0,0,0,0.0
2002,ARM,0,0,0,0,0,0,0,0,0.0
2006,ARM,0,0,0,0,0,0,0,0,0.0
2010,ARM,0,0,0,0,0,0,0,0,0.0
2014,ARM,0,0,0,0,0,0,0,0,0.0
2018,ARM,0,0,0,0,0,0,0,0,0.0
2022,ARM,0,0,0,0,0,0,0,0,0.0
2026,ARM,0,0,0,0,0,0,0,0,0.0
1994,ASA,0,0,0,0,0,0,0,0,0.0
2022,ASA,0,0,0,0,0,0,0,0,0.0
1924,AUS,1,0,0,1,0,0,0,0,0.0
1936,AUS,0,0,0,0,1,0,0,1,1.0
1952,AUS,0,0,0,0,1,0,0,1,0.5
1956,AUS,0,0,0,0,1,0,0,1,0.3333333333333333
1960,AUS,0,0,0,0,1,0,0,1,0.0
1964,AUS,0,0,0,0,1,0,0,1,0.0
1968,AUS,0,0,0,0,1,0,0,1,0.0
1972,AUS,0,0,0,0,1,0,0,1,0.0
1976,AUS,0,0,0,0,1,0,0,1,0.0
1980,AUS,0,0,0,0,1,0,0,1,0.0
1984,AUS,0,0,0,0,1,0,0,1,0.0
1988,AUS,0,0,0,0,1,0,0,1,0.0
1992,AUS,0,0,0,0,1,0,0,1,0.0
1994,AUS,0,0,1,1,1,0,0,1,0.0
1998,AUS,0,0,1,1,1,0,1,2,0.3333333333333333
2002,AUS,2,0,0,2,1,0,2,3,0.6666666666666666
2006,AUS,1,0,1,2,3,0,2,5,1.3333333333333333
2010,AUS,2,1,0,3,4,0,3,7,1.6666666666666667
2014,AUS,0,2,1,3,6,1,3,10,2.3333333333333335
2018,AUS,0,2,1,3,6,3,4,13,2.6666666666666665
2022,AUS,1,2,1,4,6,5,5,16,3.0
2026,AUS,3,2,1,6,7,7,6,20,3.3333333333333335
1924,AUT,2,1,0,3,0,0,0,0,0.0
1928,AUT,0,3,1,4,2,1,0,3,3.0
1932,AUT,1,1,0,2,2,4,1,7,3.5
1936,AUT,1,1,2,4,3,5,1,9,3.0
1948,AUT,1,3,4,8,4,6,3,13,3.3333333333333335
1952,AUT,2,4,2,8,5,9,7,21,4.666666666666667
1956,AUT,4,3,4,11,7,13,9,29,6.666666666666667
1960,AUT,1,2,3,6,11,16,13,40,9.0
1964,AUT,4,5,3,12,12,18,16,46,8.333333333333334
1968,AUT,3,4,4,11,16,23,19,58,9.666666666666666
1972,AUT,1,2,2,5,19,27,23,69,9.666666666666666
1976,AUT,2,2,2,6,20,29,25,74,9.333333333333334
1980,AUT,3,2,2,7,22,31,27,80,7.333333333333333
1984,AUT,0,0,1,1,25,33,29,87,6.0
1988,AUT,3,5,2,10,25,33,30,88,4.666666666666667
1992,AUT,6,7,8,21,28,38,32,98,6.0
1994,AUT,2,3,4,9,34,45,40,119,10.666666666666666
1998,AUT,3,5,9,17,36,48,44,128,13.333333333333334
2002,AUT,3,4,10,17,39,53,53,145,15.666666666666666
2006,AUT,9,7,7,23,42,57,63,162,14.333333333333334
2010,AUT,4,6,6,16,51,64,70,185,19.0
2014,AUT,4,8,5,17,55,70,76,201,18.666666666666668
2018,AUT,5,3,6,14,59,78,81,218,18.666666666666668
2022,AUT,7,7,4,18,64,81,87,232,15.666666666666666
2026,AUT,5,8,5,18,71,88,91,250,16.333333333333332
1998,AZE,0,0,0,0,0,0,0,0,0.0
2002,AZE,0,0,0,0,0,0,0,0,0.0
2006,AZE,0,0,0,0,0,0,0,0,0.0
2010,AZE,0,0,0,0,0,0,0,0,0.0
2014,AZE,0,0,0,0,0,0,0,0,0.0
2018,AZE,0,0,0,0,0,0,0,0,0.0
2022,AZE,0,0,0,0,0,0,0,0,0.0
2026,AZE,0,0,0,0,0,0,0,0,0.0
1924,BEL,0,0,1,1,0,0,0,0,0.0
1928,BEL,0,0,1,1,0,0,1,1,1.0
1932,BEL,0,0,0,0,0,0,2,2,1.0
1936,BEL,0,0,0,0,0,0,2,2,0.6666666666666666
1948,BEL,1,1,0,2,0,0,2,2,0.3333333333333333
1952,BEL,0,0,0,0,1,1,2,4,0.6666666666666666
1956,BEL,0,0,0,0,1,1,2,4,0.6666666666666666
1964,BEL,0,0,0,0,1,1,2,4,0.6666666666666666
1972,BEL,0,0,0,0,1,1,2,4,0.0
1976,BEL,0,0,0,0,1,1,2,4,0.0
1980,BEL,0,0,0,0,1,1,2,4,0.0
1984,BEL,0,0,0,0,1,1,2,4,0.0
1988,BEL,0,0,0,0,1,1,2,4,0.0
1992,BEL,0,0,0,0,1,1,2,4,0.0
1994,BEL,0,0,0,0,1,1,2,4,0.0
1998,BEL,0,0,1,1,1,1,2,4,0.0
2002,BEL,0,0,0,0,1,1,3,5,0.3333333333333333
2006,BEL,0,0,0,0,1,1,3,5,0.3333333333333333
2010,BEL,0,0,0,0,1,1,3,5,0.3333333333333333
2014,BEL,0,0,0,0,1,1,3,5,0.0
2018,BEL,0,1,0,1,1,1,3,5,0.0
2022,BEL,1,0,1,2,1,2,3,6,0.3333333333333333
2026,BEL,0,0,1,1,2,2,4,8,1.0
2026,BEN,0,0,0,0,0,0,0,0,0.0
1992,BER,0,0,0,0,0,0,0,0,0.0
1994,BER,0,0,0,0,0,0,0,0,0.0
1998,BER,0,0,0,0,0,0,0,0,0.0
2002,BER,0,0,0,0,0,0,0,0,0.0
2006,BER,0,0,0,0,0,0,0,0,0.0
2010,BER,0,0,0,0,0,0,0,0,0.0
2014,BER,0,0,0,0,0,0,0,0,0.0
2018,BER,0,0,0,0,0,0,0,0,0.0
1994,BIH,0,0,0,0,0,0,0,0,0.0
1998,BIH,0,0,0,0,0,0,0,0,0.0
2002,BIH,0,0,0,0,0,0,0,0,0.0
2006,BIH,0,0,0,0,0,0,0,0,0.0
2010,BIH,0,0,0,0,0,0,0,0,0.0
2014,BIH,0,0,0,0,0,0,0,0,0.0
2018,BIH,0,0,0,0,0,0,0,0,0.0
2022,BIH,0,0,0,0,0,0,0,0,0.0
2026,BIH,0,0,0,0,0,0,0,0,0.0
1994,BLR,0,2,0,2,0,0,0,0,0.0
1998,BLR,0,0,2,2,0,2,0,2,2.0
2002,BLR,0,0,1,1,0,2,2,4,2.0
2006,BLR,0,1,0,1,0,2,3,5,1.6666666666666667
2010,BLR,1,1,1,3,0,3,3,6,1.3333333333333333
2014,BLR,5,0,1,6,1,4,4,9,1.6666666666666667
2018,BLR,2,1,0,3,6,4,5,15,3.3333333333333335
2022,BLR,0,2,0,2,8,5,5,18,4.0
1956,BOL,0,0,0,0,0,0,0,0,0.0
1980,BOL,0,0,0,0,0,0,0,0,0.0
1984,BOL,0,0,0,0,0,0,0,0,0.0
1988,BOL,0,0,0,0,0,0,0,0,0.0
1992,BOL,0,0,0,0,0,0,0,0,0.0
2018,BOL,0,0,0,0,0,0,0,0,0.0
2022,BOL,0,0,0,0,0,0,0,0,0.0
2026,BOL,0,0,0,0,0,0,0,0,0.0
1992,BRA,0,0,0,0,0,0,0,0,0.0
1994,BRA,0,0,0,0,0,0,0,0,0.0
1998,BRA,0,0,0,0,0,0,0,0,0.0
2002,BRA,0,0,0,0,0,0,0,0,0.0
2006,BRA,0,0,0,0,0,0,0,0,0.0
2010,BRA,0,0,0,0,0,0,0,0,0.0
2014,BRA,0,0,0,0,0,0,0,0,0.0
2018,BRA,0,0,0,0,0,0,0,0,0.0
2022,BRA,0,0,0,0,0,0,0,0,0.0
2026,BRA,1,0,0,1,0,0,0,0,0.0
1936,BUL,0,0,0,0,0,0,0,0,0.0
1948,BUL,0,0,0,0,0,0,0,0,0.0
1952,BUL,0,0,0,0,0,0,0,0,0.0
1956,BUL,0,0,0,0,0,0,0,0,0.0
1960,BUL,0,0,0,0,0,0,0,0,0.0
1964,BUL,0,0,0,0,0,0,0,0,0.0
1968,BUL,0,0,0,0,0,0,0,0,0.0
1972,BUL,0,0,0,0,0,0,0,0,0.0
1976,BUL,0,0,0,0,0,0,0,0,0.0
1980,BUL,0,0,1,1,0,0,0,0,0.0
1984,BUL,0,0,0,0,0,0,1,1,0.3333333333333333
1988,BUL,0,0,0,0,0,0,1,1,0.3333333333333333
1992,BUL,0,0,0,0,0,0,1,1,0.3333333333333333
1994,BUL,0,0,0,0,0,0,1,1,0.0
1998,BUL,1,0,0,1,0,0,1,1,0.0
2002,BUL,0,1,2,3,1,0,1,2,0.3333333333333333
2006,BUL,0,1,0,1,1,1,3,5,1.3333333333333333
2010,BUL,0,0,0,0,1,2,3,6,1.6666666666666667
2014,BUL,0,0,0,0,1,2,3,6,1.3333333333333333
2018,BUL,0,0,0,0,1,2,3,6,0.3333333333333333
2022,BUL,0,0,0,0,1,2,3,6,0.0
2026,BUL,0,0,2,2,1,2,3,6,0.0
1924,CAN,1,0,0,1,0,0,0,0,0.0
1928,CAN,1,0,0,1,1,0,0,1,1.0
1932,CAN,1,1,5,7,2,0,0,2,1.0
1936,CAN,0,1,0,1,3,1,5,9,3.0
1948,CAN,2,0,1,3,3,2,5,10,3.0
1952,CAN,1,0,1,2,5,2,6,13,3.6666666666666665
1956,CAN,0,1,2,3,6,2,7,15,2.0
1960,CAN,2,1,1,4,6,3,9,18,2.6666666666666665
1964,CAN,1,1,1,3,8,4,10,22,3.0
1968,CAN,1,1,1,3,9,5,11,25,3.3333333333333335
1972,CAN,0,1,0,1,10,6,12,28,3.3333333333333335
1976,CAN,1,1,1,3,10,7,12,29,2.3333333333333335
