WB_Code,Year,Population,GDP,GDP_per_capita
AFG,1960,9035043.0,,
AFG,1961,9214083.0,,
AFG,1962,9404406.0,,
AFG,1963,9604487.0,,
AFG,1964,9814318.0,,
AFG,1965,10036008.0,,
AFG,1966,10266395.0,,
AFG,1967,10505959.0,,
AFG,1968,10756922.0,,
AFG,1969,11017409.0,,
AFG,1970,11290128.0,,
AFG,1971,11567667.0,,
AFG,1972,11853696.0,,
AFG,1973,12157999.0,,
AFG,1974,12469127.0,,
AFG,1975,12773954.0,,
AFG,1976,13059851.0,,
AFG,1977,13340756.0,,
AFG,1978,13611441.0,,
AFG,1979,13655567.0,,
AFG,1980,13169311.0,,
AFG,1981,11937581.0,,
AFG,1982,10991378.0,,
AFG,1983,10917982.0,,
AFG,1984,11190221.0,,
AFG,1985,11426852.0,,
AFG,1986,11420074.0,,
AFG,1987,11387818.0,,
AFG,1988,11523298.0,,
AFG,1989,11874088.0,,
AFG,1990,12045660.0,,
AFG,1991,12238879.0,,
AFG,1992,13278974.0,,
AFG,1993,14943172.0,,
AFG,1994,16250794.0,,
AFG,1995,17065836.0,,
AFG,1996,17763266.0,,
AFG,1997,18452091.0,,
AFG,1998,19159996.0,,
AFG,1999,19887785.0,,
AFG,2000,20130327.0,3521418059.92345,174.930991430166
AFG,2001,20284307.0,2813571753.87253,138.706821676113
AFG,2002,21378117.0,3825701438.99963,178.954088379235
AFG,2003,22733049.0,4520946818.54581,198.871115728727
AFG,2004,23560654.0,5224896718.67782,221.763653873013
AFG,2005,24404567.0,6203256538.70967,254.184249149336
AFG,2006,25424094.0,6971758282.29351,274.218553561575
AFG,2007,25909852.0,9747886187.39393,376.223152003876
AFG,2008,26482622.0,10109297047.5432,381.73323802844
AFG,2009,27466101.0,12416152732.0567,452.053705477043
AFG,2010,28284089.0,15856668555.8336,560.621505463146
AFG,2011,29347708.0,17805098206.3141,606.694676337726
AFG,2012,30560034.0,19907329777.5872,651.417134470046
AFG,2013,31622704.0,20146416757.5987,637.087099117099
AFG,2014,32792523.0,20497128555.6972,625.054941813938
AFG,2015,33831764.0,19134221644.7325,565.569730408751
AFG,2016,34700612.0,18116572395.0772,522.082215583898
AFG,2017,35688935.0,18753456497.8159,525.469770891619
AFG,2018,36743039.0,18053222687.4126,491.337221382603
AFG,2019,37856121.0,18799444490.1128,496.6025042585
AFG,2020,39068979.0,19955929052.1496,510.787063366811
AFG,2021,40000412.0,14259995441.0759,356.496214115892
AFG,2022,40578842.0,14497243872.1337,357.261152798144
AFG,2023,41454761.0,17152234636.8715,413.757894705303
AFG,2024,42647492.0,,
ARE,1960,131334.0,,
ARE,1961,137989.0,,
ARE,1962,144946.0,,
ARE,1963,152211.0,,
ARE,1964,159692.0,,
ARE,1965,167103.0,,
ARE,1966,173976.0,,
ARE,1967,179700.0,,
ARE,1968,199416.0,,
ARE,1969,239660.0,,
ARE,1970,286536.0,685986701.316701,2394.06811471055
ARE,1971,335027.0,939893599.634201,2805.42642722587
ARE,1972,385014.0,1415086929.3006,3675.41681419534
ARE,1973,436399.0,4231243615.86089,9695.81418807304
